Year,CO2 (ppm),Emissions path
1750,276.8,Historical
1755,276.7,Historical
1760,276.5,Historical
1765,276.6,Historical
1770,277.3,Historical
1775,278,Historical
1780,278.2,Historical
1785,278.6,Historical
1790,280,Historical
1795,281.4,Historical
1800,282.6,Historical
1805,283.6,Historical
1810,284.2,Historical
1815,284,Historical
1820,283.3,Historical
1825,283.1,Historical
1830,283.8,Historical
1835,283.9,Historical
1840,284.1,Historical
1845,285.8,Historical
1850,286.8,Historical
1855,286.4,Historical
1860,286.1,Historical
1865,286.3,Historical
1870,288,Historical
1875,289.4,Historical
1880,289.8,Historical
1885,290.9,Historical
1890,293.1,Historical
1895,295.4,Historical
1900,296.2,Historical
1905,297.4,Historical
1910,299.3,Historical
1915,301.1,Historical
1920,303.3,Historical
1925,304.7,Historical
1930,306.6,Historical
1935,308.4,Historical
1940,310.4,Historical
1945,310.9,Historical
1950,311.2,Historical
1955,313.4,Historical
